.pdx application/vnd.adobe.pdx
.xdp application/vnd.adobe.xdp
.mpeg video/mpg
.xdr text/xml
.wsc text/scriptlet
.mns audio/x-musicnet-stream
.pdf application/pdf
.awf application/vnd.adobe.workflow
.mp3 audio/mp3
.wrk application/x-wrk
.mp4 video/mpeg4
.mp1 audio/mp1
.wax audio/x-ms-wax
.wri application/x-wri
.mp2 audio/mp2
.gbr application/x-gbr
.mpg video/mpg
.mpe video/x-mpeg
.nrf application/x-nrf
.frm application/x-frm
.mpd application/vnd.ms-project
.epi application/x-epi
.mpa video/x-mpg
.mpp application/vnd.ms-project
.sld application/x-sld
.eps application/postscript
.slb application/x-slb
.class java/*
. application/x-
.mp2v video/mpeg
.igs application/x-igs
.xslt text/xml
.biz text/xml
.ls application/x-javascript
.mpv2 video/mpeg
.fax image/fax
.jfif image/jpeg
.xwd application/x-xwd
.cml text/xml
.pfx application/x-pkcs12
.aif audio/aiff
.hgl application/x-hgl
.mi application/x-mi
.dot application/msword
.iii application/x-iphone
.cmp application/x-cmp
.vsd application/x-vsd
.mpga audio/rn-mpeg
.mpw application/vnd.ms-project
.mpx application/vnd.ms-project
.slk drawing/x-slk
.mpv video/mpg
.mps video/x-mpeg
.mpt application/vnd.ms-project
.odc text/x-ms-odc
.rjt application/vnd.rn-realsystem-rjt
.rjs application/vnd.rn-realsystem-rjs
.doc application/msword
.xfd application/vnd.adobe.xfd
.html text/html
.wbmp image/vnd.wap.wbmp
.rle application/x-rle
.fdf application/vnd.fdf
.rlc application/x-rlc
.snd audio/basic
.xquery text/xml
.pgl application/x-pgl
.top drawing/x-top
.pwz application/vnd.ms-powerpoint
.rsml application/vnd.rn-rsml
.smk application/x-smk
.cmx application/x-cmx
.out application/x-out
.mac application/x-mac
.smi application/smil
.la1 audio/x-liquid-file
.man application/x-troff-man
.vsw application/vnd.visio
.vsx application/vnd.visio
.vcf text/x-vcard
.vss application/vnd.visio
.vst application/x-vst
.bmp application/x-bmp
.mhtml message/rfc822
.p7s application/pkcs7-signature
.pic application/x-pic
.vdx application/vnd.visio
.p7r application/x-pkcs7-certreqresp
.rmf application/vnd.adobe.rmf
.cot application/x-cot
.math text/xml
.p7m application/pkcs7-mime
.301 application/x-301
.vda application/x-vda
.smil application/smil
.p7c application/pkcs7-mime
.lavs audio/x-liquid-secure
.vtx application/vnd.visio
.p7b application/x-pkcs7-certificates
.wvx video/x-ms-wvx
.aiff audio/aiff
.aifc audio/aiff
.pl application/x-perl
.mdb application/x-mdb
.dbf application/x-dbf
.drw application/x-drw
.spc application/x-pkcs7-certificates
.pr application/x-pr
.etd application/x-ebx
.ps application/postscript
.rmp application/vnd.rn-rn_music_package
.m1v video/x-mpeg
.rmm audio/x-pn-realaudio
.sol text/plain
.rmi audio/mid
.rmj application/vnd.rn-realsystem-rmj
.lar application/x-laplayer-reg
.net image/pnetvue
.rmx application/vnd.rn-realsystem-rmx
.rms application/vnd.rn-realmedia-secure
.sor text/plain
.gif image/gif
.dcd text/xml
.tsd text/xml
.img application/x-img
.nws message/rfc822
.bot application/x-bot
.323 text/h323
.spp text/xml
.m2v video/x-mpeg
.mtx text/xml
.ai application/postscript
.dbm application/x-dbm
.edn application/vnd.adobe.edn
.spl application/futuresplash
.sisx application/vnd.symbian.install
.rnx application/vnd.rn-realplayer
.dbx application/x-dbx
.ra audio/vnd.rn-realaudio
.lbm application/x-lbm
.crt application/x-x509-ca-cert
.au audio/basic
.wk4 application/x-wk4
.jpg application/x-jpg
.m4e video/mpeg4
.jpe application/x-jpe
.sam application/x-sam
.wk3 application/x-wk3
.gl2 application/x-gl2
.rm application/vnd.rn-realmedia
.ltr application/x-ltr
.plg text/html
.rp image/vnd.rn-realpix
.wiz application/msword
.anv application/x-anv
.sat application/x-sat
.dtd text/xml
.pko application/vnd.ms-pki.pko
.rt text/vnd.rn-realtext
.rv video/vnd.rn-realvideo
.midi audio/mid
.cal application/x-cals
.m3u audio/mpegurl
.crl application/pkix-crl
.dcx application/x-dcx
.cat application/vnd.ms-pki.seccat
.mocha application/x-javascript
.css text/css
.fif application/fractals
.xlw application/x-xlw
.906 application/x-906
.907 drawing/907
.xls application/x-xls
.hmr application/x-hmr
.ssm application/streamingmedia
.ins application/x-internet-signup
.rpm audio/x-pn-realaudio-plugin
.plt application/x-plt
.csi application/x-csi
.tdf application/x-tdf
.mfp application/x-shockwave-flash
.pls audio/scpls
.ras application/x-ras
.cdf application/x-netcdf
.mxp application/x-mmxp
.rat application/rat-file
.tg4 application/x-tg4
.ram audio/x-pn-realaudio
.wks application/x-wks
.stm text/html
.stl application/vnd.ms-pki.stl
.jpeg image/jpeg
.png application/x-png
.sst application/vnd.ms-pki.certstore
.exe application/x-msdownload
.der application/x-x509-ca-cert
.apk application/vnd.android.package-archive
.wkq application/x-wkq
.ipa application/vnd.iphone
.xml text/xml
.lmsff audio/x-la-lms
.cut application/x-cut
.a11 application/x-a11
.sdp application/sdp
.cel application/x-cel
.dgn application/x-dgn
.wma audio/x-ms-wma
.mid audio/mid
.sdw application/x-sdw
.jsp text/html
.dwg application/x-dwg
.wsdl text/xml
.dwf application/x-dwf
.cdr application/x-cdr
.001 application/x-001
.g4 application/x-g4
